route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,didisc_group
81,1347,PleasGrove@Jess,137,137,98,39,42,98,39,0.42857142857142855,False,exclude_or_sensitivity
90,1714,Catherine Commo,137,137,0,137,0,0,137,,False,exclude_or_sensitivity
20,1546,Dairy Bar Acros,136,136,136,0,109,136,0,0.8014705882352942,False,exclude_or_sensitivity
92,1328,Cradit Farm @ B,134,134,0,134,0,0,134,,False,exclude_or_sensitivity
32,3522,Triphammer at K,132,132,108,24,26,108,24,0.24074074074074073,False,exclude_or_sensitivity
52,1701,State/MLK @ Ste,132,132,62,70,30,62,70,0.4838709677419355,True,exclude_or_sensitivity
81,1329,Helen Newman Ha,130,130,73,57,42,73,57,0.5753424657534246,True,exclude_or_sensitivity
15,528,214 Elmira Rd -,129,129,103,26,15,103,26,0.14563106796116504,False,exclude_or_sensitivity
37,3744,Warren @ Northw,129,129,129,0,42,129,0,0.32558139534883723,False,exclude_or_sensitivity
13,940,Cayuga Park @ M,127,127,107,20,0,107,20,0.0,False,exclude_or_sensitivity
32,3548,Cinema @ Sherat,127,127,103,24,43,103,24,0.4174757281553398,False,exclude_or_sensitivity
32,3783,Brown @ Culliga,127,127,127,0,22,127,0,0.1732283464566929,False,exclude_or_sensitivity
10,1722,Stewart @ Senec,125,125,125,0,76,125,0,0.608,False,exclude_or_sensitivity
67,562,Meadow @ Elmira,125,125,77,48,6,77,48,0.07792207792207792,False,exclude_or_sensitivity
67,6713,Elmira Rd @ 7 M,125,125,82,43,0,82,43,0.0,False,exclude_or_sensitivity
14S,541,Wegmans,122,122,122,0,6,122,0,0.04918032786885246,False,exclude_or_sensitivity
21,1726,Stewart @ Willi,120,120,116,4,58,116,4,0.5,False,exclude_or_sensitivity
32,3745,Northwood Apts,119,119,90,29,53,90,29,0.5888888888888889,False,exclude_or_sensitivity
67,511,Clinton West,119,119,95,24,26,95,24,0.2736842105263158,False,exclude_or_sensitivity
30,3586,Butler@Graham,118,118,80,38,29,80,38,0.3625,False,exclude_or_sensitivity
37,1751,Humphreys Servi,118,118,103,15,75,103,15,0.7281553398058253,False,exclude_or_sensitivity
20,1544,Bradfield Hall,117,117,117,0,99,117,0,0.8461538461538461,False,exclude_or_sensitivity
21,2550,Trumansburg Rd,116,116,94,22,24,94,22,0.2553191489361702,False,exclude_or_sensitivity
31,1310,Highland @ Thur,116,116,62,54,28,62,54,0.45161290322580644,True,exclude_or_sensitivity
43,4544,Dryden @ Kirk,115,115,108,7,7,108,7,0.06481481481481481,False,exclude_or_sensitivity
21,661,Green @ Meadow,114,114,39,75,23,39,75,0.5897435897435898,False,exclude_or_sensitivity
32,1747,Ithaca @ Elmwoo,112,112,61,51,24,61,51,0.39344262295081966,True,exclude_or_sensitivity
37,1701,State/MLK @ Ste,112,112,68,44,50,68,44,0.7352941176470589,False,exclude_or_sensitivity
52,1721,Stewart @ Senec,112,112,34,78,24,34,78,0.7058823529411765,False,exclude_or_sensitivity
82,1751,Humphreys Servi,112,112,80,32,49,80,32,0.6125,False,exclude_or_sensitivity
43,4773,Poets Landing A,111,111,111,0,1,111,0,0.009009009009009009,False,exclude_or_sensitivity
31,3512,Trip @ Hanshaw,109,109,87,22,37,87,22,0.42528735632183906,False,exclude_or_sensitivity
40,1545,Bradfield Hall,108,108,108,0,90,108,0,0.8333333333333334,False,exclude_or_sensitivity
21,2627,Main @ Washingt,106,106,99,7,39,99,7,0.3939393939393939,False,exclude_or_sensitivity
11,327,Coddington @ Hu,102,102,61,41,13,61,41,0.21311475409836064,False,exclude_or_sensitivity
43,4715,Main @ Rocheste,101,101,61,40,0,61,40,0.0,False,exclude_or_sensitivity
36,1520,Milstein Hall,99,99,99,0,84,99,0,0.8484848484848485,False,exclude_or_sensitivity
52,100,Seneca Commons,99,99,19,80,10,19,80,0.5263157894736842,False,exclude_or_sensitivity
13,934,Third @ Adams,98,98,66,32,4,66,32,0.06060606060606061,False,exclude_or_sensitivity
13,946,401 Cayuga Pk,98,98,72,26,0,72,26,0.0,False,exclude_or_sensitivity
10,1702,State/MLK @ Ste,97,97,97,0,70,97,0,0.7216494845360825,False,exclude_or_sensitivity
14S,543,HomeGoods,97,97,97,0,1,97,0,0.010309278350515464,False,exclude_or_sensitivity
65,100,Seneca Commons,97,97,51,46,15,51,46,0.29411764705882354,False,exclude_or_sensitivity
14,2533,1229 Trumansbur,96,96,13,83,0,13,83,0.0,False,exclude_or_sensitivity
21,2574,Trumansburg Rd,96,96,95,1,1,95,1,0.010526315789473684,False,exclude_or_sensitivity
37,3764,Vill Solars N,96,96,85,11,39,85,11,0.4588235294117647,False,exclude_or_sensitivity
11,324,Hudson @ Gdview,95,95,55,40,1,55,40,0.01818181818181818,False,exclude_or_sensitivity
43,112,Albany at Salva,94,94,94,0,42,94,0,0.44680851063829785,False,exclude_or_sensitivity
37,1327,Cradit Farm @ T,93,93,79,14,47,79,14,0.5949367088607594,False,exclude_or_sensitivity
14,2514,Trumansburg Rd,92,92,66,26,3,66,26,0.045454545454545456,False,exclude_or_sensitivity
32,3512,Trip @ Hanshaw,92,92,77,15,35,77,15,0.45454545454545453,False,exclude_or_sensitivity
81,1331,McClintock Hall,92,92,72,20,31,72,20,0.4305555555555556,False,exclude_or_sensitivity
21,1722,Stewart @ Senec,91,91,85,6,19,85,6,0.2235294117647059,False,exclude_or_sensitivity
37,3763,Village Solars,90,90,87,3,13,87,3,0.14942528735632185,False,exclude_or_sensitivity
43,4716,Main @ Rocheste,90,90,67,23,2,67,23,0.029850746268656716,False,exclude_or_sensitivity
14,705,Chestnut Hill A,89,89,69,20,3,69,20,0.043478260869565216,False,exclude_or_sensitivity
32,3556,Gaslight Villag,89,89,70,19,16,70,19,0.22857142857142856,False,exclude_or_sensitivity
22,801,Cass Park,88,88,88,0,0,88,0,0.0,False,exclude_or_sensitivity
37,3748,Warren @ Bomax,88,88,88,0,17,88,0,0.19318181818181818,False,exclude_or_sensitivity
43,1557,Vet Medical Cen,88,88,60,28,43,60,28,0.7166666666666667,False,exclude_or_sensitivity
92,1530,Anabel Taylor H,88,88,0,88,0,0,88,,False,exclude_or_sensitivity
37,3749,Tompkins County,87,87,86,1,3,86,1,0.03488372093023256,False,exclude_or_sensitivity
65,6367,South Danby Par,87,87,82,5,0,82,5,0.0,False,exclude_or_sensitivity
11,328,Hudson @ Coddin,86,86,48,38,0,48,38,0.0,False,exclude_or_sensitivity
14S,2543,Cayuga Meadows,86,86,86,0,0,86,0,0.0,False,exclude_or_sensitivity
15,519,Plain @ Center,86,86,54,32,18,54,32,0.3333333333333333,False,exclude_or_sensitivity
43,4510,Dryden Rd @ For,85,85,61,24,23,61,24,0.3770491803278688,False,exclude_or_sensitivity
43,4750,43 North St - V,85,85,52,33,3,52,33,0.057692307692307696,False,exclude_or_sensitivity
67,6779,Main @ Bridge,84,84,73,11,1,73,11,0.0136986301369863,False,exclude_or_sensitivity
43,4365,Groton Speedway,83,83,83,0,5,83,0,0.060240963855421686,False,exclude_or_sensitivity
11,329,Coddington at I,82,82,53,29,3,53,29,0.05660377358490566,False,exclude_or_sensitivity
30,3515,Triphammer @ Te,81,81,62,19,28,62,19,0.45161290322580644,False,exclude_or_sensitivity
43,1712,Mitchell @ Coll,81,81,12,69,5,12,69,0.4166666666666667,False,exclude_or_sensitivity
14S,737,Linderman Creek,79,79,79,0,0,79,0,0.0,False,exclude_or_sensitivity
37,1347,PleasGrove@Jess,79,79,68,11,13,68,11,0.19117647058823528,False,exclude_or_sensitivity
14,729,WarrenPl@Hector,78,78,78,0,0,78,0,0.0,False,exclude_or_sensitivity
14S,715,W Vill Parking,78,78,78,0,2,78,0,0.02564102564102564,False,exclude_or_sensitivity
65,349,Towers IC,78,78,78,0,0,78,0,0.0,False,exclude_or_sensitivity
21,2584,Jacksonville PO,77,77,69,8,4,69,8,0.057971014492753624,False,exclude_or_sensitivity
31,3906,Hanshaw @ Salem,77,77,68,9,13,68,9,0.19117647058823528,False,exclude_or_sensitivity
13,928,Third @ Cascadi,76,76,68,8,2,68,8,0.029411764705882353,False,exclude_or_sensitivity
37,1752,Humphreys Servi,76,76,75,1,55,75,1,0.7333333333333333,False,exclude_or_sensitivity
32,3511,Trip @ Hanshaw,75,75,51,24,18,51,24,0.35294117647058826,False,exclude_or_sensitivity
30,3521,Triphammer at K,74,74,58,16,16,58,16,0.27586206896551724,False,exclude_or_sensitivity
92,1349,Hasbrouck Apts,73,73,0,73,0,0,73,,False,exclude_or_sensitivity
32,1361,Triphammer @ Co,72,72,49,23,24,49,23,0.4897959183673469,False,exclude_or_sensitivity
15,531,Meadow @ Wood,71,71,49,22,23,49,22,0.46938775510204084,False,exclude_or_sensitivity
13,112,Albany at Salva,70,70,58,12,3,58,12,0.05172413793103448,False,exclude_or_sensitivity
14,2547,Museum of the E,70,70,49,21,31,49,21,0.6326530612244898,False,exclude_or_sensitivity
14,2511,Candlewyck Park,69,69,37,32,0,37,32,0.0,False,exclude_or_sensitivity
32,1756,Dryden @ Synchr,69,69,48,21,39,48,21,0.8125,False,exclude_or_sensitivity
51,5538,Snyder Hill @ P,69,69,48,21,1,48,21,0.020833333333333332,False,exclude_or_sensitivity
65,340,Roy Park IC,69,69,59,10,0,59,10,0.0,False,exclude_or_sensitivity
92,1520,Milstein Hall,69,69,0,69,0,0,69,,False,exclude_or_sensitivity
21,2615,E Main @ Cemete,68,68,55,13,0,55,13,0.0,False,exclude_or_sensitivity
30,3519,Triphammer @ Wi,68,68,51,17,14,51,17,0.27450980392156865,False,exclude_or_sensitivity
43,1704,State/MLK @ Qua,67,67,11,56,8,11,56,0.7272727272727273,False,exclude_or_sensitivity
92,1332,McClintock Hall,67,67,0,67,0,0,67,,False,exclude_or_sensitivity
17,996,Guthrie Cty Har,66,66,66,0,2,66,0,0.030303030303030304,False,exclude_or_sensitivity
15,133,McGraw House,65,65,46,19,13,46,19,0.2826086956521739,False,exclude_or_sensitivity
90,1710,College @ Mitch,65,65,0,65,0,0,65,,False,exclude_or_sensitivity
67,6714,Elmira Rd @ 7 M,64,64,29,35,1,29,35,0.034482758620689655,False,exclude_or_sensitivity
67,6784,Newfield School,64,64,59,5,1,59,5,0.01694915254237288,False,exclude_or_sensitivity
14,732,Mecklenburg Rd,63,63,54,9,0,54,9,0.0,False,exclude_or_sensitivity
36,3316,Triphammer @ Pe,63,63,63,0,3,63,0,0.047619047619047616,False,exclude_or_sensitivity
43,4506,Dryden Rd @ Gam,63,63,49,14,34,49,14,0.6938775510204082,False,exclude_or_sensitivity
21,117,Seneca @ Corn,62,62,47,15,1,47,15,0.02127659574468085,False,exclude_or_sensitivity
37,1348,PleasGrove@Jess,62,62,56,6,49,56,6,0.875,False,exclude_or_sensitivity
40,4512,Varna,62,62,49,13,11,49,13,0.22448979591836735,False,exclude_or_sensitivity
36,1725,Stewart @ Willi,61,61,61,0,34,61,0,0.5573770491803278,False,exclude_or_sensitivity
37,3712,PleasGrove@Hans,61,61,61,0,28,61,0,0.45901639344262296,False,exclude_or_sensitivity
51,1754,Maplewood Apts,61,61,0,61,0,0,61,,False,exclude_or_sensitivity
40,4387,Cortland St @ C,59,59,53,6,0,53,6,0.0,False,exclude_or_sensitivity
43,4528,Dryden Rd @ Bak,59,59,53,6,14,53,6,0.2641509433962264,False,exclude_or_sensitivity
52,5771,Caroline Turn,58,58,38,20,0,38,20,0.0,False,exclude_or_sensitivity
67,6789,Elmira Rd @ Mai,58,58,46,12,0,46,12,0.0,False,exclude_or_sensitivity
21,2619,TBurg School,57,57,37,20,0,37,20,0.0,False,exclude_or_sensitivity
20,661,Green @ Meadow,56,56,56,0,38,56,0,0.6785714285714286,False,exclude_or_sensitivity
21,2556,TBurg@ProfBldg,56,56,50,6,6,50,6,0.12,False,exclude_or_sensitivity
43,1556,Vet Medical Cen,56,56,56,0,44,56,0,0.7857142857142857,False,exclude_or_sensitivity
37,3711,PleasGrove@Hans,55,55,47,8,16,47,8,0.3404255319148936,False,exclude_or_sensitivity
37,1332,McClintock Hall,54,54,54,0,48,54,0,0.8888888888888888,False,exclude_or_sensitivity
67,6532,Newfield Depot,54,54,40,14,4,40,14,0.1,False,exclude_or_sensitivity
11,330,Coddington at I,53,53,24,29,1,24,29,0.041666666666666664,False,exclude_or_sensitivity
13,953,Hancock @ First,53,53,46,7,1,46,7,0.021739130434782608,False,exclude_or_sensitivity
40,1721,Stewart @ Senec,53,53,53,0,37,53,0,0.6981132075471698,False,exclude_or_sensitivity
51,5712,Slaterville Rd,53,53,44,9,16,44,9,0.36363636363636365,False,exclude_or_sensitivity
65,112,Albany at Salva,53,53,32,21,13,32,21,0.40625,False,exclude_or_sensitivity
21,2624,Main @ South (T,52,52,44,8,4,44,8,0.09090909090909091,False,exclude_or_sensitivity
31,3932,Sapsucker Woods,52,52,40,12,6,40,12,0.15,False,exclude_or_sensitivity
43,4752,North @ Freevil,52,52,32,20,2,32,20,0.0625,False,exclude_or_sensitivity
52,5759,Caroline Town,52,52,30,22,0,30,22,0.0,False,exclude_or_sensitivity
67,567,359 Elmira Rd -,52,52,39,13,1,39,13,0.02564102564102564,False,exclude_or_sensitivity
67,6515,West Danby Rd @,51,51,34,17,0,34,17,0.0,False,exclude_or_sensitivity
21,1702,State/MLK @ Ste,50,50,48,2,21,48,2,0.4375,False,exclude_or_sensitivity
21,2611,Trumansburg Rd,50,50,45,5,0,45,5,0.0,False,exclude_or_sensitivity
22,165,Green Commons,49,49,49,0,11,49,0,0.22448979591836735,False,exclude_or_sensitivity
43,4312,Freeville Rd at,49,49,49,0,2,49,0,0.04081632653061224,False,exclude_or_sensitivity
43,4749,36 North St - D,49,49,25,24,1,25,24,0.04,False,exclude_or_sensitivity
65,337,Ithaca College,49,49,49,0,0,49,0,0.0,False,exclude_or_sensitivity
11,313,Hudson @ Columb,48,48,27,21,3,27,21,0.1111111111111111,False,exclude_or_sensitivity
21,2555,TBurg@ProfBldg,48,48,39,9,0,39,9,0.0,False,exclude_or_sensitivity
32,1755,Dryden @ Pine T,48,48,24,24,15,24,24,0.625,False,exclude_or_sensitivity
37,3900,Warren @ Hansha,48,48,48,0,23,48,0,0.4791666666666667,False,exclude_or_sensitivity
51,5545,Regency @ Snyde,48,48,34,14,27,34,14,0.7941176470588235,False,exclude_or_sensitivity
15,504,Clinton @ Fayet,47,47,40,7,10,40,7,0.25,False,exclude_or_sensitivity
51,5719,Pine Tree @ Sla,46,46,37,9,8,37,9,0.21621621621621623,False,exclude_or_sensitivity
52,112,Albany at Salva,46,46,10,36,4,10,36,0.4,False,exclude_or_sensitivity
13,925,Tioga @ Falls,45,45,41,4,0,41,4,0.0,False,exclude_or_sensitivity
43,4511,Varna Auto,45,45,21,24,0,21,24,0.0,False,exclude_or_sensitivity
51,5525,318 Pine Tree -,45,45,19,26,14,19,26,0.7368421052631579,False,exclude_or_sensitivity
11,369,Danby @ Vista,44,44,35,9,3,35,9,0.08571428571428572,False,exclude_or_sensitivity
32,3559,Warrenwood Apts,44,44,34,10,4,34,10,0.11764705882352941,False,exclude_or_sensitivity
36,3154,Lansing MS,44,44,44,0,0,44,0,0.0,False,exclude_or_sensitivity
43,4755,North @ Brightd,44,44,33,11,0,33,11,0.0,False,exclude_or_sensitivity
20,669,State/MLK @ Inl,43,43,40,3,24,40,3,0.6,False,exclude_or_sensitivity
36,3587,Graham@Butler,43,43,43,0,26,43,0,0.6046511627906976,False,exclude_or_sensitivity
51,5716,Slater @ Lois,43,43,38,5,4,38,5,0.10526315789473684,False,exclude_or_sensitivity
32,3516,Triphammer @ Sp,42,42,28,14,16,28,14,0.5714285714285714,False,exclude_or_sensitivity
40,1553,Boyce Thomp,42,42,42,0,32,42,0,0.7619047619047619,False,exclude_or_sensitivity
40,1752,Humphreys Servi,42,42,21,21,15,21,21,0.7142857142857143,False,exclude_or_sensitivity
17,107,Cayuga @ Buffal,41,41,17,24,9,17,24,0.5294117647058824,False,exclude_or_sensitivity
31,3954,Guthrie Hanshaw,41,41,28,13,2,28,13,0.07142857142857142,False,exclude_or_sensitivity
37,3740,Warren @ Dart,41,41,41,0,4,41,0,0.0975609756097561,False,exclude_or_sensitivity
14,127,State/MLK @ Pla,39,39,25,14,14,25,14,0.56,False,exclude_or_sensitivity
21,2514,Trumansburg Rd,39,39,30,9,1,30,9,0.03333333333333333,False,exclude_or_sensitivity
43,1756,Dryden @ Synchr,39,39,15,24,11,15,24,0.7333333333333333,False,exclude_or_sensitivity
51,5531,Pine Tree @ Hon,39,39,29,10,6,29,10,0.20689655172413793,False,exclude_or_sensitivity
65,1726,Stewart @ Willi,39,39,39,0,25,39,0,0.6410256410256411,False,exclude_or_sensitivity
13,108,Cayuga @ Buffal,38,38,32,6,1,32,6,0.03125,False,exclude_or_sensitivity
40,4516,Dryden Rd @ Fre,38,38,21,17,7,21,17,0.3333333333333333,False,exclude_or_sensitivity
43,4518,1062 Dryden Rd,38,38,31,7,13,31,7,0.41935483870967744,False,exclude_or_sensitivity
43,4708,Dryden @ Johnsn,38,38,36,2,5,36,2,0.1388888888888889,False,exclude_or_sensitivity
90,1704,State/MLK @ Qua,38,38,0,38,0,0,38,,False,exclude_or_sensitivity
11,318,Hudson at South,37,37,26,11,0,26,11,0.0,False,exclude_or_sensitivity
14S,736,Linderman Creek,37,37,37,0,0,37,0,0.0,False,exclude_or_sensitivity
21,2616,E Main @ Cemete,37,37,25,12,2,25,12,0.08,False,exclude_or_sensitivity
36,1721,Stewart @ Senec,37,37,37,0,21,37,0,0.5675675675675675,False,exclude_or_sensitivity
92,1327,Cradit Farm @ T,37,37,0,37,0,0,37,,False,exclude_or_sensitivity
15,524,Plain @ Wood,36,36,29,7,9,29,7,0.3103448275862069,False,exclude_or_sensitivity
40,1756,Dryden @ Synchr,36,36,15,21,7,15,21,0.4666666666666667,False,exclude_or_sensitivity
43,4756,North @ Brightd,36,36,25,11,0,25,11,0.0,False,exclude_or_sensitivity
51,5536,Honness at Itha,36,36,21,15,6,21,15,0.2857142857142857,False,exclude_or_sensitivity
20,2339,Enfield Highway,35,35,33,2,0,33,2,0.0,False,exclude_or_sensitivity
43,1702,State/MLK @ Ste,35,35,13,22,9,13,22,0.6923076923076923,False,exclude_or_sensitivity
43,1746,Ithaca @ Elmwoo,35,35,12,23,8,12,23,0.6666666666666666,False,exclude_or_sensitivity
43,4318,Freeville Stn P,35,35,35,0,2,35,0,0.05714285714285714,False,exclude_or_sensitivity
67,1702,State/MLK @ Ste,35,35,35,0,25,35,0,0.7142857142857143,False,exclude_or_sensitivity
11,368,Terrace Apts So,34,34,17,17,0,17,17,0.0,False,exclude_or_sensitivity
13,927,Cascadilla @ Th,34,34,22,12,1,22,12,0.045454545454545456,False,exclude_or_sensitivity
22,100,Seneca Commons,34,34,34,0,22,34,0,0.6470588235294118,False,exclude_or_sensitivity
43,4509,Dryden Rd @ For,34,34,30,4,14,30,4,0.4666666666666667,False,exclude_or_sensitivity
51,1702,State/MLK @ Ste,34,34,17,17,11,17,17,0.6470588235294118,False,exclude_or_sensitivity
67,1722,Stewart @ Senec,34,34,34,0,22,34,0,0.6470588235294118,False,exclude_or_sensitivity
31,3937,Lab of Ornith,33,33,19,14,3,19,14,0.15789473684210525,False,exclude_or_sensitivity
31,4553,Creekwood Apts,33,33,7,26,0,7,26,0.0,False,exclude_or_sensitivity
82,1769,CISER,33,33,27,6,16,27,6,0.5925925925925926,False,exclude_or_sensitivity
14,2534,1229 Trumansbur,32,32,21,11,4,21,11,0.19047619047619047,False,exclude_or_sensitivity
14S,2533,1229 Trumansbur,32,32,32,0,0,32,0,0.0,False,exclude_or_sensitivity
32,1372,Triphammer @ No,32,32,25,7,8,25,7,0.32,False,exclude_or_sensitivity
32,3733,22 Arrowwood,32,32,32,0,14,32,0,0.4375,False,exclude_or_sensitivity
43,1726,Stewart @ Willi,32,32,32,0,9,32,0,0.28125,False,exclude_or_sensitivity
43,4776,Dryden Central,32,32,13,19,0,13,19,0.0,False,exclude_or_sensitivity
52,5795,Boiceville Cott,32,32,19,13,1,19,13,0.05263157894736842,False,exclude_or_sensitivity
43,4527,Dryden Rd @ Bak,31,31,20,11,3,20,11,0.15,False,exclude_or_sensitivity
65,6321,Danby @ King,31,31,15,16,2,15,16,0.13333333333333333,False,exclude_or_sensitivity
67,504,Clinton @ Fayet,31,31,27,4,6,27,4,0.2222222222222222,False,exclude_or_sensitivity
90,1702,State/MLK @ Ste,31,31,0,31,0,0,31,,False,exclude_or_sensitivity
92,1347,PleasGrove@Jess,31,31,0,31,0,0,31,,False,exclude_or_sensitivity
14,710,Chestnut @ Hook,30,30,17,13,1,17,13,0.058823529411764705,False,exclude_or_sensitivity
20,1726,Stewart @ Willi,30,30,30,0,23,30,0,0.7666666666666667,False,exclude_or_sensitivity
32,3547,Cinema @ Sherat,30,30,25,5,6,25,5,0.24,False,exclude_or_sensitivity
43,4516,Dryden Rd @ Fre,30,30,20,10,6,20,10,0.3,False,exclude_or_sensitivity
13,903,Cascadilla @ Ca,29,29,20,9,2,20,9,0.1,False,exclude_or_sensitivity
14,706,Chestnut Hill A,29,29,15,14,0,15,14,0.0,False,exclude_or_sensitivity
14S,559,Meadow at Ithac,29,29,29,0,2,29,0,0.06896551724137931,False,exclude_or_sensitivity
21,2631,TBurg P+R,29,29,17,12,0,17,12,0.0,False,exclude_or_sensitivity
31,1317,Highland @ Lake,29,29,22,7,4,22,7,0.18181818181818182,False,exclude_or_sensitivity
32,1367,Triphammer @ Ir,29,29,17,12,7,17,12,0.4117647058823529,False,exclude_or_sensitivity
43,4522,Dryden Rd @ Tur,29,29,25,4,9,25,4,0.36,False,exclude_or_sensitivity
51,5710,Honness @ Slate,29,29,18,11,4,18,11,0.2222222222222222,False,exclude_or_sensitivity
17,112,Albany at Salva,28,28,28,0,14,28,0,0.5,False,exclude_or_sensitivity
17,906,Cayuga @ Tompki,28,28,28,0,17,28,0,0.6071428571428571,False,exclude_or_sensitivity
20,2316,Mecklenburg Rd,28,28,1,27,0,1,27,0.0,False,exclude_or_sensitivity
21,2623,Main @ South (T,28,28,20,8,0,20,8,0.0,False,exclude_or_sensitivity
31,3902,Hanshaw @ Warre,28,28,25,3,4,25,3,0.16,False,exclude_or_sensitivity
31,4567,Upper Creek @ E,28,28,27,1,5,27,1,0.18518518518518517,False,exclude_or_sensitivity
40,1557,Vet Medical Cen,28,28,28,0,23,28,0,0.8214285714285714,False,exclude_or_sensitivity
65,342,Alumni Circ IC,28,28,25,3,0,25,3,0.0,False,exclude_or_sensitivity
14,2557,Professional Bu,27,27,24,3,4,24,3,0.16666666666666666,False,exclude_or_sensitivity
37,1329,Helen Newman Ha,27,27,19,8,6,19,8,0.3157894736842105,False,exclude_or_sensitivity
43,4710,Dryden Rd @ Geo,27,27,24,3,3,24,3,0.125,False,exclude_or_sensitivity
13,901,Cayuga @ Cascad,26,26,18,8,0,18,8,0.0,False,exclude_or_sensitivity
14,734,Hector @ Warren,26,26,21,5,0,21,5,0.0,False,exclude_or_sensitivity
14S,738,Conifer Village,26,26,26,0,1,26,0,0.038461538461538464,False,exclude_or_sensitivity
21,2573,Trumansburg Rd,26,26,24,2,0,24,2,0.0,False,exclude_or_sensitivity
32,3553,Uptown Village,26,26,19,7,7,19,7,0.3684210526315789,False,exclude_or_sensitivity
37,3727,Warren at Warre,26,26,17,9,3,17,9,0.17647058823529413,False,exclude_or_sensitivity
43,4543,Dryden @ Mineah,26,26,17,9,0,17,9,0.0,False,exclude_or_sensitivity
14,115,State/MLK @ Alb,25,25,17,8,4,17,8,0.23529411764705882,False,exclude_or_sensitivity
40,4322,Freeville P+R,25,25,15,10,1,15,10,0.06666666666666667,False,exclude_or_sensitivity
51,5549,Snyder Hill @ D,25,25,11,14,7,11,14,0.6363636363636364,False,exclude_or_sensitivity
52,1704,State/MLK @ Qua,25,25,12,13,7,12,13,0.5833333333333334,False,exclude_or_sensitivity
82,1772,E Hill Office,25,25,23,2,20,23,2,0.8695652173913043,False,exclude_or_sensitivity
92,1309,Thurston @ High,25,25,0,25,0,0,25,,False,exclude_or_sensitivity
14,755,Westhaven Road,24,24,15,9,12,15,9,0.8,False,exclude_or_sensitivity
14S,545,South Meadow Ma,24,24,24,0,5,24,0,0.20833333333333334,False,exclude_or_sensitivity
21,2560,Trumansburg Rd,24,24,7,17,3,7,17,0.42857142857142855,False,exclude_or_sensitivity
32,3549,Cinema @ Uptown,24,24,21,3,7,21,3,0.3333333333333333,False,exclude_or_sensitivity
36,1508,University @ St,24,24,24,0,13,24,0,0.5416666666666666,False,exclude_or_sensitivity
40,4522,Dryden Rd @ Tur,24,24,19,5,5,19,5,0.2631578947368421,False,exclude_or_sensitivity
67,568,366 Elmira Rd -,24,24,12,12,0,12,12,0.0,False,exclude_or_sensitivity
17,900,Cayuga @ Cascad,23,23,23,0,15,23,0,0.6521739130434783,False,exclude_or_sensitivity
40,1704,State/MLK @ Qua,23,23,14,9,8,14,9,0.5714285714285714,False,exclude_or_sensitivity
52,5715,Slater @ Lois,23,23,21,2,17,21,2,0.8095238095238095,False,exclude_or_sensitivity
65,341,Main Entrnce IC,23,23,23,0,0,23,0,0.0,False,exclude_or_sensitivity
65,351,Ithaca College,23,23,23,0,0,23,0,0.0,False,exclude_or_sensitivity
65,6329,Danby Rd @ Comf,23,23,21,2,1,21,2,0.047619047619047616,False,exclude_or_sensitivity
65,6374,Hillview Terr,23,23,14,9,0,14,9,0.0,False,exclude_or_sensitivity
82,1756,Dryden @ Synchr,23,23,21,2,5,21,2,0.23809523809523808,False,exclude_or_sensitivity
92,1323,Risley Hall - F,23,23,0,23,0,0,23,,False,exclude_or_sensitivity
32,1373,Triphammer @ No,22,22,17,5,3,17,5,0.17647058823529413,False,exclude_or_sensitivity
37,3726,Dewitt Middle S,22,22,22,0,14,22,0,0.6363636363636364,False,exclude_or_sensitivity
40,4570,Etna Mills Apts,22,22,14,8,4,14,8,0.2857142857142857,False,exclude_or_sensitivity
21,135,Green @ Fayette,21,21,13,8,9,13,8,0.6923076923076923,False,exclude_or_sensitivity
21,2612,Trumansburg Rd,21,21,16,5,0,16,5,0.0,False,exclude_or_sensitivity
37,3747,Warren Rd Post,21,21,21,0,0,21,0,0.0,False,exclude_or_sensitivity
67,6781,Main @ Pearl,21,21,16,5,1,16,5,0.0625,False,exclude_or_sensitivity
82,1755,Dryden@Pine Tre,21,21,18,3,4,18,3,0.2222222222222222,False,exclude_or_sensitivity
20,113,Seneca @ Albany,20,20,20,0,2,20,0,0.1,False,exclude_or_sensitivity
20,2333,Enfield P+R,20,20,20,0,0,20,0,0.0,False,exclude_or_sensitivity
20,2334,Enfield P+R,20,20,20,0,0,20,0,0.0,False,exclude_or_sensitivity
21,2564,Trumansburg Rd,20,20,19,1,8,19,1,0.42105263157894735,False,exclude_or_sensitivity
32,3558,Univ Pk Apts,20,20,17,3,2,17,3,0.11764705882352941,False,exclude_or_sensitivity
40,4506,Dryden Rd @ Gam,20,20,18,2,11,18,2,0.6111111111111112,False,exclude_or_sensitivity
52,5734,Slater @ BDale,20,20,4,16,0,4,16,0.0,False,exclude_or_sensitivity
67,6767,Newfield Depot,20,20,17,3,0,17,3,0.0,False,exclude_or_sensitivity
92,1301,Thurston @ Stew,20,20,0,20,0,0,20,,False,exclude_or_sensitivity
14S,673,Buffalo @ Fulto,19,19,19,0,3,19,0,0.15789473684210525,False,exclude_or_sensitivity
17,913,Lincoln @ Cayug,19,19,19,0,7,19,0,0.3684210526315789,False,exclude_or_sensitivity
31,1311,Highland @ Thur,19,19,16,3,4,16,3,0.25,False,exclude_or_sensitivity
